150 10 - (285.619, 309.728, 600.178, 48.926, 0.07, 10.405660506417686) - 0.301948960182 0.00488532093608 0.00423974252076
150 15 - (275.722, 306.976, 630.072, 54.645, 0.05, 17.937031975658215) - 0.301048601479 0.0061132072297 0.00607308380205
150 20 - (261.009, 308.654, 590.011, 48.422, 0.02, 25.245891460358532) - 0.291276047326 0.0090963120935 0.0103112026187
150 25 - (272.618, 310.588, 565.882, 46.421, 0.07, 25.28543425581912) - 0.316789355089 0.0084010147193 0.0114418607481
125 5 - (240.501, 256.25, 518.093, 42.761, 0.02, 7.627671726442551) - 0.252722806453 0.00291547879172 0.00285625830904
125 10 - (240.03, 258.86, 485.073, 36.964, 0.0, 8.417065648626718) - 0.247558173023 0.00625742845803 0.00546453690638
125 15 - (223.553, 254.979, 493.602, 39.772, 0.0, 12.62157894880506) - 0.248844222463 0.0101468756237 0.00702421666165
125 20 - (218.767, 256.821, 506.12, 43.34, 0.0, 16.58793669899775) - 0.243497052378 0.0104414917168 0.00654133721174
125 25 - (207.457, 258.686, 538.807, 50.754, 0.0, 26.40772690896288) - 0.261884161131 0.00839117139433 0.010077123065
100 5 - (193.329, 205.133, 404.532, 33.431, 0.07, 5.125052285734309) - 0.200662804891 0.00263753746382 0.00255527038676
100 10 - (185.222, 199.11, 212.924, 8.815, 0.07, 10.832447423999819) - 0.205006811453 0.00596852004832 0.00425973993264
100 15 - (175.378, 208.455, 424.525, 37.582, 0.05, 16.488712609396654) - 0.204731959689 0.00876393321068 0.00552161218663
100 20 - (165.947, 202.302, 396.114, 35.794, 0.02, 22.776318411570053) - 0.206522556081 0.00924395956245 0.00808080354758
100 25 - (161.106, 209.068, 394.4, 35.961, 0.02, 20.82675318011912) - 0.172175353737 0.0112978335091 0.0112167561406
75 5 - (142.859, 184.472, 1316.343, 185.536, 0.02, 17.627147057416302) - 0.147978869014 0.00215754501021 0.00209403126627
75 10 - (135.59, 154.787, 310.255, 27.015, 0.07, 7.346137996409225) - 0.154652384168 0.00560053459643 0.00364597236165
